,qid,query,generation_gt,retrieval_gt
10,a233418b-ed22-4f00-a7d2-9e37e7d37ce2,겨드랑털진균증의 원인과 진단 방법은 무엇인가?,"['겨드랑털진균증의 원인은 털줄기의 세균감염에 의해 발생하며, 진단 방법은 세균배양 및 털의 현미경적 검사, 치료에 대한 반응 여부를 두고 진행된다.']",[['28e174bd-79c9-4c79-9a5f-f4289ca6d2b2']]
11,cc240637-59a2-4367-8e84-2705f483c89e,What are the characteristics and causes of urethrorectal fistulae in dogs and cats?,"['Urethrorectal fistulae in dogs and cats can occur due to trauma or congenital defects. They are characterized by the abnormal passage of urine from the penis/vagina to the anus, chronic urethral infections, and often result in urine-induced lesions. During the estrus period, female animals may also exhibit blood-tinged discharge from the vulva. Diagnosis is made through physical examination and bladder-urethra imaging.']",[['a04ece28-2170-4a5a-a40d-2613d32f764e']]
12,c2ba2b5f-7527-4fb3-bb63-540ad7cf1bd0,다관절염이 개의 이동성과 걸음걸이에 미치는 영향은 무엇인가?,['다관절염은 개의 이동성과 걸음걸이에 통증이나 상처에 대한 반응으로 영향을 미친다.'],[['aee38b5a-0059-422b-8c29-2dfd7821af1a']]
13,aa517ad3-a5bc-4759-bac8-1e42c5577474,피부의 호산구증가증이 개에서 어떤 증상과 특징을 나타내는가?,"['개에서 피부의 호산구증가증은 가슴과 배의 배쪽 표면과 pinnae 위에 아치형이며 사행성인 플라크가 발달하고, 팔다리 끝에 병변이 나타나기도 하며, 다양한 정도의 통증과 소양감을 나타내는 홍반성, 부종성이며 단단한 플라크가 특징적이다.']",[['5b3d860f-528e-4ea0-a1b2-471baed99e4b']]
14,b11b6a4d-76e0-4845-8560-0689b09cddae,What does it indicate when the concentration of parathyroid hormone (PTH) is abnormally high and persistent?,"['When the concentration of parathyroid hormone (PTH) is abnormally high and persistent, it indicates a condition known as hyperparathyroidism, which can be due to primary hyperparathyroidism, renal secondary hyperparathyroidism, or nutritional secondary hyperparathyroidism.']","[['c8d4ff91-b7d6-40bf-bf1e-ca97512a73ce', 'c8d4ff91-b7d6-40bf-bf1e-ca97512a73ce']]"
15,f2708337-3355-4f90-a25e-c85d86603b9d,What are the characteristic clinical symptoms associated with 창자곁주머니 기형 in dogs and cats?,['The characteristic clinical symptoms associated with 창자곁주머니 기형 in dogs and cats include frequent occurrences of intestinal obstruction and peritonitis.'],[['a97bfef7-9c0e-4494-a757-78360572534f']]
16,b8bf4970-254a-4c66-bddd-9de1e184aceb,What are the causes of babesiosis in dogs and cats?,"['The causes of babesiosis in dogs are B. canis and B. gibsoni, while in cats, it is caused by B. felis.']",[['3cd7ac7a-d203-4bcf-baee-b50cea52351e']]
17,32ea7838-d4fa-46c7-b6f9-566d1a739273,What are the characteristics associated with hyperflexion of limbs in young boxer dogs?,"['The characteristics associated with hyperflexion of limbs in young boxer dogs include facial muscle abnormalities on one side, a twisted and crouched expression, movements of the relaxed front legs that appear to be stuck for a few seconds, rapid repetitive movements accompanied by sounds, and the creation of a flexed posture in the neck area or abnormalities in the lateral muscles. Additionally, there is a maintenance of excessive flexion in the front or hind limbs, which occurs at various frequencies and may be induced by excitement. Recovery after occurrence is rapid.']",[['abeabd3e-500f-43ea-afed-cbd61b37b16b']]
18,ed5ab955-9071-421b-a159-d0b636c613ac,What are the effects of platypus toxicity on dogs?,['nan'],[['2d10e919-c4a1-427b-9594-3e12917eab74']]
19,f6eb4bf4-1a85-428d-917a-670ab8114460,What are the common symptoms associated with feline urinary incontinence?,"['The common symptoms associated with feline urinary incontinence include intermittent urinary incontinence during sleep, and many cats also exhibit signs of pupil dilation and may test positive for feline leukemia virus infection. Other symptoms reported by owners include third eyelid prolapse.']",[['01946f15-4437-4f79-8d6f-a34f072dab67']]
20,71d77e41-f542-4f41-b4dd-8a7fc1df33e7,What symptoms are associated with muscle weakness and atrophy in dogs suffering from distal polyneuropathy?,"['Symptoms associated with muscle weakness and atrophy in dogs suffering from distal polyneuropathy include curvature and weakness of the hind legs, which develop 1-3 years after the onset of the disease. In the late stages, similar symptoms also appear in the front legs, along with weakness and atrophy of the head muscles, leading to difficulties in swallowing.']",[['8092efc8-f00c-44a3-a3a2-7c52bd8103ee']]
21,2ac40f0a-2d2b-4254-8e80-6fecf34b238c,What condition is associated with fractures of the petrous temporal bone in horses?,['측두설골관절병증(temporohyoid osteoarthropathy) is associated with fractures of the petrous temporal bone in horses.'],[['c510f679-7c39-447e-a858-a183a2417708']]
22,33c1dadf-73ad-44c1-97e7-51a54a2570c6,What are the characteristics and typical presentation of dilated pore of winer in cats?,"['Dilated pore of winer in cats is characterized by a vesicular opening that is enlarged and typically filled with a keratin plug. It is observed in older animals and develops slowly. The surface appears yellow and keratinized, protruding through the surface opening. In cats, this lesion appears singularly on the cheek area.']",[['55a9a8ce-50fa-4005-837f-f760d8bd6734']]
23,98ff8f44-0088-4e9d-bfde-4c4460cc59ed,What is the cause of taurine deficiency in cats?,"['Taurine deficiency in cats is caused by a lack of intake of the essential amino acid taurine, particularly in cats that are fed homemade food instead of commercially available cat food. This deficiency can lead to low blood taurine levels, which is associated with DCM in affected cats.']",[['c2f2dded-2da1-4c4e-89b5-276474950e8d']]
24,dbe1df56-2fd3-48da-a496-fe3ad13339d7,What are some common breeds that are classified as brachycephalic?,"['Some common breeds that are classified as brachycephalic include English Bulldogs, Pugs, and Boston Terriers.']",[['8ba291ac-d6d7-4d16-8f8d-dc1faef5a0f4']]
25,4db0c0b0-4539-432a-a78f-3240ede56053,What are the potential causes and treatments for 질요관 누공 in dogs and cats?,['nan'],[['58cadbea-adda-43c7-9e05-247be1bbc632']]
26,8270a83c-e1c7-4a0f-b2b3-8d3365116a7b,What is the significance of progressive neurological disease in Labrador Retrievers?,"['The significance of progressive neurological disease in Labrador Retrievers, specifically central axonopathy, is that it leads to a progressive neurological condition that manifests in puppies around 3-4 weeks of age, resulting in walking difficulties and ultimately leading to the dog lying down. This condition reflects dysfunctions in the spinal cord and cerebellum, and post-mortem examinations reveal diffuse axonopathy in specific neural structures.']",[['8f22f99c-1853-44d2-9600-b85ea76e3656']]
27,1e2340f0-0c86-478c-92cc-a4bfd3e90e3c,What are the causes and symptoms of aseptic avascular necrosis of the femoral head in dogs?,"['The causes of aseptic avascular necrosis of the femoral head in dogs include decreased blood flow to the femoral head, which can lead to aseptic necrosis in the infected area. Symptoms include pelvic and hip pain, sounds in the hind legs and pelvis, hind leg atrophy and weight loss, hind leg pain, hind leg lameness, stiffness, and limping. This disease primarily occurs in young toy and miniature breed dogs under one year of age.']",[['948d9575-68e2-4a6b-a444-24f43d33928f']]
28,87588ce9-e172-456c-902d-8f4ed5ae95f9,What causes 철중독증 (Iron toxicity) in animals like dogs and cats?,"['철중독증(Iron toxicity)은 종합비타민, 임신 보조제, 미네랄 보조제 등에 포함된 쉽게 이온화되는 철의 과량 섭취로 인해 발생합니다.']",[['27e15055-b298-495d-8f89-255ee0a2635d']]
29,93fb7a99-76d6-4e21-bf82-52a1803fd357,개에서의 용혈은 어떤 원인으로 발생할 수 있나요?,"['개에서의 용혈은 양파 섭취와 관련이 있으며, 양파를 섭취한 후 빈혈이 발생할 수 있다. 또한, 재배된 마늘인 ALLIUM SATIVUM도 개에서 용혈을 야기할 수 있으며, 마늘 섭취는 용혈성 빈혈을 유발하기 쉽다고 여겨진다.']",[['bde8f070-260d-4f9c-8b7d-ca06e90e45de']]
30,b7e248d0-ecb2-4381-bb37-cffac7d361ec,What is the significance of congenital corneal opacity in puppies?,"['The significance of congenital corneal opacity in puppies lies in its manifestation as a condition that affects the clarity of the cornea, which can vary in severity and may be associated with other developmental issues. It can impact the vision of the affected puppies and is diagnosed based on age and eye examination.']",[['6b4e59d5-c288-4913-9570-174cfb5d4e10']]
31,51e57cf8-bad7-4d81-89d2-65247972fe66,What is an arteriovenous malformation of the spinal cord in dogs?,"['An arteriovenous malformation of the spinal cord in dogs is a condition characterized by abnormal connections between arteries and veins in the spinal cord, which can lead to neurological disorders. It is diagnosed through autopsy and can cause various clinical symptoms.']","[['999302b8-0a67-49ec-8fb7-8ef9d0190019', '880186a9-0a7c-47a4-80fa-e2f9dd72f9a7']]"
32,b10323ab-6dad-43a7-aac6-428ea7d161e3,What causes nasopharyngeal stenosis in dogs and cats?,"['Nasopharyngeal stenosis in dogs and cats is caused by viral infections of the upper respiratory tract or infections from Chlamydia, as well as contact with foreign bodies or irritants (allergic infections).']",[['273c76a9-680c-4a33-88f0-d75283b72952']]
33,a241f96c-af2b-4d3f-9d31-0af73926b3df,What are the characteristics and common occurrences of gastroesophageal intussusception in dogs and cats?,"['Gastroesophageal intussusception is rare in dogs and very rare in cats. It is a peculiar form of hernia that typically occurs in German Shepherds under three months of age, but it can also occur in older dogs or other breeds. Symptoms can lead to death within one to three days after onset. In many cases, the passage of the gastric tube is obstructed. Diagnosis can be made through surgery, and it is often associated with pre-existing esophageal diseases such as megaesophagus. Clinically, it resembles esophageal foreign body cases, and endoscopy can assist in diagnosis by directly showing mucosal changes.']",[['819e5a17-58da-427f-a5d2-9a01554fd462']]
34,6a4ea947-63f6-4e45-8b60-6138498cb871,What causes 세균성 심내막염 in dogs and cats?,"['세균성 심내막염 in dogs and cats is caused by Streptococcus and Escherichia coli, which lead to bacterial infections that can spread to the heart.']",[['46b9d4f9-38af-4e09-b1db-a7dff888cdb4']]
35,88f9cc6b-10d5-4049-83d5-862e276aa986,대퇴골 연접부에서 어떤 종류의 종양이 발생할 수 있나요?,['대퇴골 연접부에서 연조직의 골육종이 발생할 수 있습니다.'],[['939fbab8-6b78-4b34-83c1-deb1bd25e206']]
36,a9da57ec-4d3e-4535-8ba8-6ebd52ce931c,사지와 머리부위의 부종이 심할 경우 어떤 결과를 초래할 수 있나요?,['사지와 머리부위의 부종이 심할 경우 난산이나 유산을 초래할 수 있습니다.'],[['ac38bda5-94f1-48bb-bc06-5e8bf736515e']]
37,fa1110d4-7e35-4e3c-8c42-b6681d745173,수막척수염의 정의와 관련된 염증은 어떤 부위에서 발생하나요?,['수막척수염은 수막과 척수의 염증으로 정의됩니다.'],[['273c76a9-680c-4a33-88f0-d75283b72952']]
38,616450f1-eb29-46c8-8073-77ec604ae485,What are the characteristics and common breed affected by histiocytic ulcerative colitis?,"['Histiocytic ulcerative colitis is characterized by a mixed inflammatory cell mucosal infiltration, predominantly featuring histiocytes that stain positive with periodic acid-Schiff. The breed commonly affected by this disease is the Boxer, and it is often seen in dogs under 2 years of age.']",[['032a54e0-e981-4024-aba6-ce0b11da3216']]
39,3fa2158a-4d02-48b7-8442-e7fe110f0cd6,"신경연관다발근육병증이란 무엇이며, 개에서 어떤 증상과 관련이 있습니까?","['신경연관다발근육병증(paraneoplastic polymyopathy)은 개에서 췌장섬셈세포암종과 관련된 증후군으로, 다발성 말초신경병증이 나타나며, 이는 포도당 투여 후에도 사라지지 않는다.']",[['bfcdad23-3fd5-4906-99bd-6ed730aec806']]
40,cf1669c4-3061-4716-b43c-e8f2da1e4d02,What are the genetic causes associated with hypomyelination in dogs?,"['The context indicates that hypomyelination in dogs is associated with genetic causes, specifically mentioning that it is a genetic condition observed in Springer Spaniels under recessive conditions.']",[['3d0b5387-08cc-47fc-b1f8-87d2ca2ca283']]
41,fb962ed8-5f87-4112-be5e-64d757c4ca7f,What role does Staphylococcus play in the diagnosis of infections in animals?,"['Staphylococcus can be isolated from the lesions, which may play a role in the diagnosis of infections in animals.']",[['3f56dd81-0fb9-4b24-adfe-3c0f6033a5e3']]
42,18ffc525-86cd-459b-936d-0c9624ede355,"context: ""자궁 결석증은 암컷 개에서 발생하는 질병으로, 자궁 내에 결석이 형성되는 상태를 말한다. 이 질병은 종종 감염이나 염증과 관련이 있으며, 증상으로는 복통, 비정상적인 분비물, 그리고 식욕 감소가 나타날 수 있다.""
keyphrase: ""자궁 결석증""
question: ""자궁 결석증의 주요 증상은 무엇인가?","['자궁 결석증의 주요 증상으로는 복통, 비정상적인 분비물, 그리고 식욕 감소가 나타날 수 있다.']",[['20d2109f-f775-4e4c-b9e0-e12ceb380e8c']]
43,a08b5c7e-e1e7-46e3-97a2-d40a18770dc6,What is a common cause of temporary infertility in young boars?,"['A common cause of temporary infertility in young boars is overuse, which can lead to a temporary state of infertility. However, with sufficient nutrition and a break from mating for a few weeks, they can recover.']","[['95014498-4197-4177-b221-8718fc19a043', '2cd0b1e6-3519-4a16-9244-34abb13ebd40']]"
44,ca7b8173-92e6-470f-9557-70ae703f94fe,"개의 장구더기증이란 무엇이며, 이 질병의 주요 증상은 무엇인가?","['개의 장구더기증은 생체 조직에 쌍시류 곤충의 유충이 만연함을 의미하며, 이 유충은 숙주의 생체조직을 먹는다. 주요 증상으로는 어린 개에서 위장관 질병이 발생하고 유충을 토하거나 분변으로 배출하는 것이 있다.']",[['e49a4fae-6374-4543-8739-0c42904146e9']]
45,e5b98f1a-0fa6-4ac9-80b7-c8fdb51a78c6,What are the common characteristics and symptoms associated with neoplasia of the exocrine pancreas in cats and dogs?,"['In cats, neoplasia of the exocrine pancreas is characterized by the presence of pancreatic adenocarcinoma, which is often diagnosed at the time of metastasis. Symptoms include hair loss primarily in the legs, as well as alopecia in the paw pads and skin, believed to be associated with the presence of the tumor. In dogs, the primary tumors of the exocrine pancreas include ductal and acinar cell adenocarcinomas, with symptoms related to liver disease due to metastasis, and occasionally acute or chronic pancreatitis. Metastasis often occurs in the lungs, and skin involvement is rare. Diagnosis in both species is made through symptoms, laboratory tests, ultrasound, and liver biopsy.']",[['8ef693ca-c8c0-4038-81d4-16b19aaabac8']]
46,b2ddc328-d96b-4936-b456-3a76f9345573,What is the significance of neonatal septicemia in puppies and kittens?,['nan'],[['c738a5eb-87f8-483b-9221-868f02d4350e']]
47,69261b16-5490-43fb-842c-849915c03d49,What are the characteristics and common symptoms of juvenile canine pancreatic acinar atrophy?,"['Juvenile canine pancreatic acinar atrophy is characterized by the presence of a complete islet of Langerhans and the idiopathic atrophy of acinar cells. It is common in young, large breeds of dogs, particularly German Shepherds. In Collies and German Shepherds, it has a genetic component. The atrophy of acinar cells leads to pancreatic insufficiency within the first year of life, accompanied by clinical symptoms such as exocrine pancreatic insufficiency and abdominal distension due to coprophagia.']",[['4553539d-1e14-4d79-ab73-b9ec5809ca55']]
48,8c76da3d-e67f-426a-9f9a-3d470f109d79,What causes primary immunodeficiency disorders in animals like dogs and cats?,"['Primary immunodeficiency disorders in animals like dogs and cats are caused by congenital defects in the immune system, leading to weakened immunity.']",[['1b085d43-42bb-4cee-9de8-313e6a4695b6']]
49,cd4795ee-4d81-4101-98c2-5b0ddcfc7814,What are the common symptoms and types of tumors associated with 위종양 (gastric neoplasia) in dogs and cats?,"['Common symptoms of 위종양 (gastric neoplasia) in dogs and cats include persistent vomiting and weight loss. The types of tumors associated with this condition include adenocarcinoma, lymphoma, leiomyoma, leiomyosarcoma, plasmacytoma, fibrosarcoma, and hemangiosarcoma. In dogs, adenocarcinoma is most common, while in cats, lymphoma is the most common type.']",[['060abec1-2b03-4ee7-86e9-467daf4a1e75']]
50,30cbca4f-19f6-43aa-926f-4849a61b2bd7,What are the characteristics and causes of 피부 무력증 (Cutaneous asthenia) in animals?,"['피부 무력증(Cutaneous asthenia)은 비정상적인 피부의 과신전과 취약성을 특징으로 하는 유전성 질병으로, Ehlers-Danlos증후군과 피부파열증(dermatosparaxis)으로도 알려져 있다. 이 질병은 유전적 소인에 의해 발생한다.']",[['0d6d9bab-949c-4d45-8afb-12f063438bec']]
51,68d87932-fc8c-44e4-b18e-33d1fe034f37,납작한 늑골의 특징과 관련된 증상은 무엇인가?,"['납작한 늑골은 비정상적 보행, 짧고 뒤틀린 사지, 비대된 관절과 함께 나타나며, 증상은 주로 3주령에서 주의할 만하다.']",[['339bf4d6-eb3d-48c6-bd27-4c7da4702d08']]
52,50f75814-057e-494b-8359-a903e13752c5,What are the characteristics and causes of urethrorectal and rectourethral fistulae in dogs and cats?,"['Urethrorectal and rectourethral fistulae in dogs and cats are characterized by the abnormal passage allowing urine to be expelled from the penis/vagina and anus, chronic urethral infections, and often lesions caused by urine. In females, there may be blood-tinged discharge from the vulva during estrus. These fistulae can occur secondarily due to trauma or may arise from other congenital defects.']",[['a04ece28-2170-4a5a-a40d-2613d32f764e']]
53,aea8963f-560b-4cd9-a025-3a6026de4873,What are the symptoms and characteristics of 특발성 점액증 in 샤페이 dogs?,"['The symptoms and characteristics of 특발성 점액증 in 샤페이 dogs include severe, diffuse, and completely thickened dermal mucinosis-like histological evidence, swelling, itching, and the development of swelling in the head and extremities. Additionally, there may be vesicles present, and the condition can naturally resolve as the dog matures.']",[['95b75d86-8065-4ac2-bcbe-cfb2c7af5db5']]
54,f4a04be1-210d-432d-909c-96ddfc707960,What are the clinical characteristics and symptoms associated with congestive heart failure in dogs and cats?,"['The clinical characteristics and symptoms associated with congestive heart failure in dogs and cats include pulmonary and systemic congestion, weak cardiac output, left ventricular failure leading to pulmonary artery congestion and pulmonary edema, and right ventricular failure causing venous congestion and edema, which may present as ascites or pleural effusion. Animals may show signs such as orthopnea when lying down, anxiety, and coughing.']",[['e119d792-aa3b-4724-b4c2-44fbf8d8d0dc']]
55,386d9e80-54b6-4d81-a83f-804c3e7de0f8,What are the symptoms and effects of renal failure in dogs and cats?,['nan'],[['b92f03cc-6959-4626-943c-dfac8214f539']]
56,1d898c30-d5b3-4b0b-893c-dea1f841f29a,What are the characteristics and potential causes of congenital stationary night blindness in horses and dogs?,"['The characteristics of congenital stationary night blindness in horses and dogs include impaired vision during the day, which can sometimes be affected as well. The condition is likely hereditary.']",[['68fe4b41-5377-4827-91c6-809b63d1ed8c']]
57,bf15edd2-8810-4098-acd3-d43d9205cc27,"What characteristics define Gram-negative bacteria, and how do they relate to Bartonella henselae infection in cats?",['nan'],[['2cb81e60-4e3d-4b9e-a070-6a8645b97759']]
58,4842b971-4c71-430a-bc38-588110b8e514,정기적인 호르몬 분석은 어떤 진단에 필요합니까?,['정기적인 호르몬 분석은 이차적 무발정의 진단에 필요하다.'],[['996d8a30-35ab-4df7-991a-dfacceefcfae']]
59,bf987b3b-2206-4b41-9002-7249ed234dc8,What is the common cause of pharyngeal and esophageal fistulas in horses?,"['The common cause of pharyngeal and esophageal fistulas in horses is generally due to injuries to the esophagus, which can lead to the formation of fistulas as a result of secondary pneumonia.']",[['2f768c69-060d-465d-a0b9-2314e4889d92']]
60,b72b2ef9-0d90-4f9a-ad0c-0a07192e3562,What are the common causes of chronic mitral valvular insufficiency in animals?,"['The common cause of chronic mitral valvular insufficiency in animals, particularly in older animals, is chronic periodontal disease.']",[['593fddb2-e07d-49b1-a08d-b0d6ac4bcd12']]
61,c38a0319-6c46-4f19-87e7-e1baf09d0fb9,통증과 소양감은 어떤 질병의 증상으로 나타날 수 있나요?,['통증과 소양감은 miniature poodles의 거짓 연골 발육 부전에 의한 형성이상(Pseudoachondroplastic dysplasia of miniature poodles)에서 다양하게 나타날 수 있습니다.'],"[['339bf4d6-eb3d-48c6-bd27-4c7da4702d08', '6782cd20-8b0e-4c7c-9dde-daa41f443a9a']]"
62,487973e9-d2f1-41cb-b36f-0fbf23b55830,What are the genetic factors and clinical symptoms associated with 운동 뉴런의 질병 in dogs?,"['운동 뉴런의 질병은 Swedish Lapland와 Brittany Spanial dogs에서 유전적으로 척수의 운동뉴런의 위축 때문에 발생하며, 이 질병의 임상증상은 Swedish Lapland에서 5~7주령에 나타나기 시작하고 급속하게 약화되며, Brittanys에서는 1년령에서 느리게 발생하고 2차적으로 사지의 구축을 이끌게 된다. Rottweiler pups에서는 4주령에서 임상증상이 발현되고 점점 빨라지며, 안락사는 8주령에서 실행된다.']",[['9b08e1e4-3b52-47c8-896c-c24116ce9bf3']]
63,6a935b3e-2960-4674-8d3b-22196e0e1c83,What genetic condition affects shorthair cats and is associated with feline congenital porphyria?,['The genetic condition that affects shorthair cats and is associated with feline congenital porphyria is inherited in an autosomal dominant manner.'],[['0f21890e-6102-4092-ba2b-921cd7bdfd01']]
64,68687cc6-d6b2-49ff-b01d-57ddb545cb77,What are the symptoms and implications of Factor X deficiency in dogs and cats?,"['Factor X deficiency in dogs and cats can lead to severe bleeding, particularly in newborn puppies, many of whom may be stillborn. Symptoms include prolonged bleeding after venipuncture and potential internal bleeding, which can have serious implications for the health of the animals.']","[['05f38a8c-2ca2-42d9-b00e-1ab21f271a95', '05f38a8c-2ca2-42d9-b00e-1ab21f271a95']]"
65,000f50bf-8224-4e29-a258-bdbf4de2ce08,What are the histological characteristics of cutaneous trichilemmal cysts in dogs?,"['Histological characteristics of cutaneous trichilemmal cysts in dogs include the differentiation of hair within the cystic cavity, primarily consisting of amorphous and thin plates of keratin, with the absence of granular material.']",[['91c4175e-e1fa-49b4-bbe5-138d9896d820']]
66,22a04029-f7bb-40e8-98fe-5f495fe19ae7,What evidence supports the association of Bartonella with granulomatous disease in dogs?,"['Bartonella DNA has been amplified from tissue samples of granulomatous lymphadenitis and granulomatous rhinitis in dogs, and serum samples react with BARTONELLA VINSONII subsp. BERKHOFFII using immunofluorescence.']",[['cb529a5e-059a-4353-99ec-f4ced8092a2f']]
67,db0d8a23-7df7-465d-b67e-8b85843ef5ee,안면신경 기능장애의 증상은 무엇인가요?,"['안면신경 기능장애의 증상은 귀, 안검, 입술, 코의 근육이 마비되거나 약해지는 것입니다.']",[['27daf2b7-3366-45af-82c2-27d134ef4c4a']]
68,26084be7-4e97-4940-a698-f17677f3ddec,What are the clinical symptoms associated with neurogenic disease in cats?,"['The clinical symptoms associated with neurogenic disease in cats are described as the discharge of a clear fluid from the nasal cavity, which is related to the condition known as cerebrospinal rhinorrhea.']",[['ea1eac14-cf8d-46e4-a420-c4a9d88c45e8']]
69,b9ccb6aa-ce86-4448-af28-871f9db8726d,What role does RHIPICEPHALUS SANGUINEUS play in the transmission of HEPATOZOON CANIS in dogs?,['RHIPICEPHALUS SANGUINEUS plays a role in the transmission of HEPATOZOON CANIS in dogs by serving as a vector through which the parasite is spread.'],[['b89ae919-42f8-4709-9cfe-ea40f7706755']]
70,bc75365d-0233-4169-8049-9447c4b60bd4,What are the clinical symptoms of Methemoglobin reductase deficiency in cats and dogs?,['The clinical symptoms of Methemoglobin reductase deficiency in cats and dogs include dark and reddish-brown blood and brownish or cyanotic mucous membranes.'],[['ad2f4f86-c183-4ae1-8cbd-395ef7c6734d']]
71,4b768474-9b28-4613-818a-e7990041aa0d,What are the potential effects of 신경성 번갈 다음증 in dogs?,"['신경성 번갈 다음증은 개에서 다뇨와 다갈증을 일으킬 수 있으며, 일부 개에서는 위장관계 질병과 연관될 수 있습니다.']",[['4b0dfb19-ecad-4be5-a0ac-765e6e467416']]
72,77c92e54-e266-4af4-8bf2-0067b171082a,What is the significance of increased muscle enzymes in the diagnosis of idiopathic polymyositis in dogs?,"['Increased muscle enzymes are significant in the diagnosis of idiopathic polymyositis in dogs as they are generally elevated in this condition, aiding in the confirmation of the diagnosis through biopsy.']",[['29a938bb-231f-4fc4-b420-ec71e573f8a8']]
73,43f69093-8308-41e1-9784-b7b9cb924fa4,"What are the characteristics of idiopathic polymyositis, an inflammatory disease of the skeletal muscles?","['Idiopathic polymyositis is characterized by the inflammation of skeletal muscles, primarily affecting the upper arms, limbs, trunk, and esophagus. It leads to muscle weakness and stiffness, and it can present as both an acute and chronic condition.']","[['ad0d46e5-165b-4cc8-a93e-f8745b04ce3a', 'ad0d46e5-165b-4cc8-a93e-f8745b04ce3a']]"
